id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
76605,52767,42295,14202,207010,Cancelled,2023-04-09 06:39:47 UTC,,,,1.5
156797,108062,86400,28700,423501,Shipped,2023-03-15 03:23:31 UTC,2023-03-15 00:18:00 UTC,,,1.5
36711,25306,20361,15332,99345,Cancelled,2023-02-12 06:01:29 UTC,,,,1.8200000524520876
177453,122241,97759,15332,479222,Processing,2023-06-02 15:02:16 UTC,,,,1.8200000524520876
35984,24797,19953,15332,97358,Shipped,2023-02-19 07:43:53 UTC,2023-02-20 06:44:00 UTC,,,1.8200000524520876
56897,39192,31378,3049,153899,Processing,2023-04-03 05:39:18 UTC,,,,1.950000047683716
41017,28284,22723,28774,110896,Cancelled,2023-04-25 13:01:40 UTC,,,,2.7799999713897705
29686,20432,16492,28774,80367,Returned,2023-01-25 05:47:12 UTC,2023-01-25 22:15:00 UTC,2023-01-28 11:32:00 UTC,2023-01-30 04:08:00 UTC,2.7799999713897705
164755,113514,90721,28862,445049,Processing,2023-05-25 05:12:48 UTC,,,,2.9500000476837158
16059,11085,8973,29064,43454,Shipped,2023-01-31 11:34:44 UTC,2023-02-01 00:03:00 UTC,,,2.9500000476837158
54877,37801,30241,28589,148398,Shipped,2023-03-12 06:11:38 UTC,2023-03-13 00:59:00 UTC,,,2.9500000476837158
89533,61690,49401,14170,241816,Shipped,2023-04-19 07:20:52 UTC,2023-04-20 11:46:00 UTC,,,2.9500000476837158
181085,124704,99669,14170,489073,Shipped,2023-02-06 09:39:20 UTC,2023-02-07 00:14:00 UTC,,,2.9500000476837158
72889,50243,40270,12354,196951,Cancelled,2023-02-07 04:57:52 UTC,,,,2.9900000095367432
176645,121703,97339,12354,477088,Cancelled,2023-01-14 00:50:16 UTC,,,,2.9900000095367432
174571,120263,96157,9621,471516,Complete,2023-06-23 04:50:50 UTC,2023-06-25 08:48:00 UTC,2023-06-26 17:48:00 UTC,,2.9900000095367432
33020,22719,18309,12664,89354,Shipped,2023-01-26 23:56:47 UTC,2023-01-29 00:33:00 UTC,,,2.9900000095367432
11155,7696,6247,28972,30195,Shipped,2023-01-30 13:06:29 UTC,2023-02-02 07:24:00 UTC,,,3.0899999141693115
80304,55280,44335,13607,216904,Complete,2023-05-27 01:29:43 UTC,2023-05-25 07:17:00 UTC,2023-05-25 19:17:00 UTC,,3.1700000762939453
131723,90726,72612,9044,355720,Shipped,2023-03-12 01:15:22 UTC,2023-03-10 02:10:00 UTC,,,3.2000000476837158
73320,50519,40482,29026,198124,Complete,2023-06-21 01:15:03 UTC,2023-06-23 06:45:00 UTC,2023-06-27 12:19:00 UTC,,3.2899999618530278
126968,87448,70031,13943,342837,Processing,2023-02-05 07:11:38 UTC,,,,3.4000000953674321
155412,107114,85680,15917,419782,Cancelled,2023-02-24 08:03:05 UTC,,,,3.5
61859,42644,34170,15419,167334,Complete,2023-01-24 10:32:03 UTC,2023-01-26 23:40:00 UTC,2023-01-30 18:16:00 UTC,,3.5
86963,59899,47993,13696,234843,Complete,2023-04-06 16:59:56 UTC,2023-04-08 04:37:00 UTC,2023-04-08 11:12:00 UTC,,3.5
