product_id,max_daily_sales,avg_daily_sales,safety_stock_level,id,name,category,brand
4,1,1.0,7.0,4,Bailey 44 Women's Undertow Top,Tops & Tees,Bailey 44
6,1,1.0,7.0,6,Wilt Women's Color Blocked Big Mixed Slant Top,Tops & Tees,Wilt
7,1,1.0,7.0,7,Lucky Brand Women's Riad Tee,Tops & Tees,Lucky Brand
10,1,1.0,7.0,10,Calvin Klein Women's Plus-Size Print Drape Top,Tops & Tees,Calvin Klein
12,1,1.0,7.0,12,Jones New York Women's Pleated Round Neck Blouse,Tops & Tees,Jones New York
16,1,1.0,7.0,16,2B Paradise Breeze Button Down Tank,Tops & Tees,2b by bebe
19,1,1.0,7.0,19,Billabong Aussies T-Shirt - Short-Sleeve - Women's,Tops & Tees,Billabong
21,1,1.0,7.0,21,Volcom Juniors Pocket Blocket Long Sleeve Tee,Tops & Tees,Volcom
40,1,1.0,7.0,40,Anne Klein Women's Button Front Blouse,Tops & Tees,Anne Klein
41,1,1.0,7.0,41,Splendid Women's Double Pocket Shirt,Tops & Tees,Splendid
45,1,1.0,7.0,45,Pendleton Women's Serendipity Stripe Tee,Tops & Tees,Pendleton
50,1,1.0,7.0,50,Calvin Klein Women's MSY 3/4 Sleeve Top,Tops & Tees,Calvin Klein
56,1,1.0,7.0,56,Joie Women's Edaline B Printed Blouse,Tops & Tees,Joie
62,1,1.0,7.0,62,Calvin Klein Women's Printed Blouse,Tops & Tees,Calvin Klein
63,1,1.0,7.0,63,Joie Women's Peterson Blouse,Tops & Tees,Joie
65,1,1.0,7.0,65,Alternative Women's Fern Baseball Tee,Tops & Tees,Alternative
67,1,1.0,7.0,67,D.E.P.T. Women's Metallic Lace Top,Tops & Tees,D.E.P.T.
72,1,1.0,7.0,72,Seven7 Women's Back V-Neck Dolman Top,Tops & Tees,Seven7
73,1,1.0,7.0,73,Splendid Women's Colorblock Tank,Tops & Tees,Splendid
79,1,1.0,7.0,79,Calvin Klein Women's Hi-Low Tee,Tops & Tees,Calvin Klein
82,1,1.0,7.0,82,Three Dots Women's Boxy Top,Tops & Tees,Three Dots
83,1,1.0,7.0,83,BCBGMAXAZRIA Women's Clement Key Hole Top,Tops & Tees,BCBGMAXAZRIA
89,1,1.0,7.0,89,Allegra K Ladies Stars Skull Pattern Stretchy Scoop Neck Casual Tunic Shirt Black Gray L,Tops & Tees,Allegra K
90,1,1.0,7.0,90,Wilt Women's Long Sleeve Back Slant,Tops & Tees,Wilt
93,1,1.0,7.0,93,2B Diedra Woven Strap Tank,Tops & Tees,2b by bebe
94,1,1.0,7.0,94,2B Allison Open Back Tank Top,Tops & Tees,2b by bebe
98,1,1.0,7.0,98,Patty Women Cowl Neck Button Embellished Ruched Blouse Top,Tops & Tees,Patty
99,1,1.0,7.0,99,Blue Juice Women's Native Geo V-Neck Top,Tops & Tees,Blue Juice
100,1,1.0,7.0,100,Annalee + Hope Women's Perfect Poncho,Tops & Tees,Annalee + Hope
102,1,1.0,7.0,102,US Polo Assn. Juniors Solid Polo With Small Pony,Tops & Tees,U.S. Polo Assn.
103,1,1.0,7.0,103,Three Dots Red Women's 3/4 Sleeve British Tee,Tops & Tees,Three Dots
104,1,1.0,7.0,104,Plenty by Tracy Reese Women's Open Placket Shirt,Tops & Tees,Plenty by Tracy Reese
105,1,1.0,7.0,105,I Heart Daryl - Walking Dead Sheer Women's T-shirt,Tops & Tees,Walking Dead
106,1,1.0,7.0,106,Calvin Klein Women's Peasant Blouse,Tops & Tees,Calvin Klein
108,1,1.0,7.0,108,Next Level Ladies Soft Long-Sleeve Thermal,Tops & Tees,Next Level
109,1,1.0,7.0,109,YogaColors Womens Emoticon Flowy Scoop Neck Tank Top,Tops & Tees,YogaColors
112,1,1.0,7.0,112,Curve Appeal Missy Cotton Round Neck Blouse,Tops & Tees,Curve Appeal
115,1,1.0,7.0,115,Patty Women Stunning 2-in-1 Hoodie Casual Blouse Top,Tops & Tees,Patty
117,1,1.0,7.0,117,Calvin Klein Women's Printed Cowl Neck Shirt,Tops & Tees,Calvin Klein
125,1,1.0,7.0,125,Patty Women Stunning Trimmed Boat Neck Long Sleeve Blouse Knit Top,Tops & Tees,Patty
128,1,1.0,7.0,128,Patty Women Trendy Diagonal Stripe Cowl Neck Long Sleeve Blouse Top,Tops & Tees,Patty
131,1,1.0,7.0,131,Roxy Women's Get Me By-Hawaii-SC Scoop Neck T-Shirt Pink,Tops & Tees,Roxy
133,1,1.0,7.0,133,Columbia Sportswear Women's Bonehead Long Sleeve Shirt,Tops & Tees,Columbia
134,1,1.0,7.0,134,Fox Womens Juniors Missfire Crew Neck Tee,Tops & Tees,Fox
135,1,1.0,7.0,135,Plus size Floral Lace Sleeve Top Black,Tops & Tees,eVogues Apparel
139,1,1.0,7.0,139,allen allen Women's Rugby Stripe Long Sleeve Thumbhole Tee,Tops & Tees,Allen Allen
143,1,1.0,7.0,143,LAT 3588 Womens Ringspun Long-Sleeve T-Shirt,Tops & Tees,LAT Sportswear
146,1,1.0,7.0,146,Allegra K Woman Beige Black Scoop Neck Dotted Shirred Waist Dress XS w Belt,Tops & Tees,Allegra K
147,1,1.0,7.0,147,Ed Garments Women's Wrinkle Free Open Neck 3/4 Sleeve Poplin Blouse. 5040,Tops & Tees,Ed Garments
149,1,1.0,7.0,149,Plus Size Smocked Empire Waist Kimono Top,Tops & Tees,eVogues Apparel
150,1,1.0,7.0,150,Next Level 6640 NL Lady CVC Deep V Tee,Tops & Tees,Next Level
151,1,1.0,7.0,151,Myne Women's Demi Blouse,Tops & Tees,Myne
153,1,1.0,7.0,153,Women's UA EVO ColdGearÂ® Longsleeve Mock Tops by Under Armour,Tops & Tees,Under Armour
161,1,1.0,7.0,161,Signiture Womens Black Studded Cross Vest Top,Tops & Tees,Signiture
165,1,1.0,7.0,165,Allegra K Ladies Beige Scoop Neck Half Sleeves Lace Shirt M w Tank Top,Tops & Tees,Allegra K
167,1,1.0,7.0,167,Patty Women Sexy Cowl Neck Ruffle Sleeve Casual Blouse Top,Tops & Tees,Patty
170,1,1.0,7.0,170,Ralph Lauren Sport Women Lightweight V-Neck T-Shirt,Tops & Tees,Ralph Lauren
174,1,1.0,7.0,174,Chestnut Hill Ladies Performance Plus Long Sleeve Twill. CH605W,Tops & Tees,Chestnut Hill
177,1,1.0,7.0,177,Devon & Jones Women's Long Sleeve Five-Star Performance Twill Button Down Dress Shirt D555W,Tops & Tees,Devon & Jones
189,1,1.0,7.0,189,Dickies Girl Juniors Solid Cap Sleeve V-Neck Tee,Tops & Tees,Dickies Girl
192,1,1.0,7.0,192,Hanes Ladies Moisture Wicking Performance T-Shirt,Tops & Tees,Hanes
193,1,1.0,7.0,193,FEA Juniors Beatles Stripes Standing Group Tissue Tee,Tops & Tees,FEA
194,1,1.0,7.0,194,Plus Size Sexy RED Black Lace Corset Top,Tops & Tees,eVogues Apparel
197,1,1.0,7.0,197,Bella Ladies 4 oz. Sheer Rib Long-Sleeve Crew - WHITE - 2XL,Tops & Tees,Bella
199,1,1.0,7.0,199,Allegra K Woman Boat Neck Rabbit Decor Hollow Laced Shoulder Light Pink Shirt M,Tops & Tees,Allegra K
200,1,1.0,7.0,200,Women's UA EVO ColdGearÂ® Hoody Tops by Under Armour,Tops & Tees,Under Armour
203,1,1.0,7.0,203,B4070 Bella Ladies' 5.8 oz. 2x1 Rib Racerback Longer-Length Tank,Tops & Tees,Bella
204,1,1.0,7.0,204,Alternative AA4070 Ladies' 3.5 oz. Long-Sleeve Crew,Tops & Tees,Alternative
206,1,1.0,7.0,206,YogaColors Fine Jersey Short Sleeve Crystal Crew Neck T-Shirt Dress RSA2314,Tops & Tees,YogaColors
207,1,1.0,7.0,207,Allegra K Women Off Round Neck Mesh Decor Sleeve Autumn Shirt White S,Tops & Tees,Allegra K
213,1,1.0,7.0,213,Next Level Apparel Ladies Extreme Soft V-Neck T-Shirt. 3400L,Tops & Tees,Next Level
214,1,1.0,7.0,214,Patty Women Unique Cut Out Shoulder Bell Sleeve Boho Blouse Top,Tops & Tees,Patty
216,1,1.0,7.0,216,New Balance Women's Tempo Long Sleeve Tee,Tops & Tees,New Balance
217,1,1.0,7.0,217,Smartwool Women's Midweight Pattern Crew,Tops & Tees,SmartWool
218,1,1.0,7.0,218,Allegra K Woman Buttons Decor Front Boat Neck Ribbed Trim Spring Top Fuchsia XS,Tops & Tees,Allegra K
220,1,1.0,7.0,220,Hanes 7 oz Cotton Pique Women's Polo Shirt. 035,Tops & Tees,Hanes
222,1,1.0,7.0,222,Patty Women Fitted One shoulder Ruched Arm Long Sleeve Blouse Top,Tops & Tees,Patty
223,1,1.0,7.0,223,The Hunger Games Flaming Mockingjay Girls Womens Juniors T-Shirt,Tops & Tees,The Hunger Games
224,1,1.0,7.0,224,Carhartt Women's Midweight Work-Dry Thermal Crewneck Top,Tops & Tees,Carhartt
232,1,1.0,7.0,232,Devon & Jones - Ladies' Pima Pique Long-Sleeve Polo,Tops & Tees,Devon & Jones
235,1,1.0,7.0,235,Patty Women Long Sleeves Ruched Turtleneck Tunic Blouse Top,Tops & Tees,Patty
236,1,1.0,7.0,236,Regular Length Spaghetti Strap Tank Top Camis Basic Camisole Cotton Plain Solid Color,Tops & Tees,Hollywood Star Fashion
242,1,1.0,7.0,242,Lucky Brand Women's Plus-Size Camille Top,Tops & Tees,Lucky Brand
245,1,1.0,7.0,245,Lilly Pulitzer Women's Noelle Tunic,Tops & Tees,Lilly Pulitzer
252,1,1.0,7.0,252,Woman Within Plus Size Top tunic length in softest sweatshirt fleece,Tops & Tees,Woman Within
253,1,1.0,7.0,253,Port Authority Women's Wrinkle Resistance Shirt. L608,Tops & Tees,Port Authority
254,1,1.0,7.0,254,Carhartt Women's Womens Madison Shirt,Tops & Tees,Carhartt
256,1,1.0,7.0,256,Devon & Jones Blue Ladies Organic Pique Polo Shirt. D130WGR,Tops & Tees,Devon & Jones
257,1,1.0,7.0,257,Hot Chillys Women's Micro-Elite Chamois 8K Crew Neck Top,Tops & Tees,Hot Chillys
258,1,1.0,7.0,258,Allegra K Woman Roll up Short Sleeve Stripes Button up Shirt Colorful M,Tops & Tees,Allegra K
264,1,1.0,7.0,264,Flexees Women's Fat Free Tailored Tank Top,Tops & Tees,Flexees
266,1,1.0,7.0,266,Neon Buddha Women's Plus Size Cowl Neck Tunic,Tops & Tees,Neon Buddha
268,1,1.0,7.0,268,Champion Women's Favorite V-Neck Tank,Tops & Tees,Champion
269,1,1.0,7.0,269,Three Dots Women's British Tee,Tops & Tees,Three Dots
272,1,1.0,7.0,272,Harriton Ladies 5 oz Easy Blend Polo Shirt. M265W,Tops & Tees,Harriton
276,1,1.0,7.0,276,Allegra K Long Bat Wing Sleeve Bar Striped Pullover Shirt for Women,Tops & Tees,Allegra K
283,1,1.0,7.0,283,Indian Tunic Top Womens / Kurti Printed Blouse India Clothing,Tops & Tees,Maple Clothing
284,1,1.0,7.0,284,Out of Print Pride & Prejudice Book Women's Vintage Inspired T-Shirt,Tops & Tees,Out of Print
285,1,1.0,7.0,285,Patty Women Sexy Black Floral Lace Polo Neck Long Sleeve Blouse Top,Tops & Tees,Patty
293,1,1.0,7.0,293,Allegra K Ladies Short Sleeve Loose Chiffon Pullover Tunic Shirt Yellow White S,Tops & Tees,Allegra K
295,1,1.0,7.0,295,Tommy Hilfiger Women Long Sleeve Beads Logo V-Neck T-Shirt,Tops & Tees,Tommy Hilfiger
296,1,1.0,7.0,296,Calvin Klein Jeans Women's Convertible Henley Shirt,Tops & Tees,Calvin Klein Jeans
297,1,1.0,7.0,297,3608 LAT Junior Fine Jersey Long-Sleeve Longer-Length Tee - White - S,Tops & Tees,LAT Sportswear
299,1,1.0,7.0,299,Volcom Juniors Pocket Blocket Long Sleeve Tee,Tops & Tees,Volcom
303,1,1.0,7.0,303,YogaColors Emoticon Sheer Jersey Wide Neck 3/4 Sleeve Tee Blouse,Tops & Tees,YogaColors
305,1,1.0,7.0,305,Gildan G240L Ladies 6.1 oz. Ultra Cotton Long-Sleeve T-Shirt,Tops & Tees,Gildan
306,1,1.0,7.0,306,Asics Women's Favorite Long Sleeve Shirt,Tops & Tees,ASICS
308,1,1.0,7.0,308,Life is good Peace Cat & Dog Women's Long Sleeve Shirt,Tops & Tees,Life Is Good
310,1,1.0,7.0,310,Plain Long Spaghetti Strap Tank Top Camis Basic Camisole Cotton Plus Size,Tops & Tees,Hollywood Star Fashion
314,1,1.0,7.0,314,Smartwool Women's Midweight Pattern Zip T,Tops & Tees,SmartWool
318,1,1.0,7.0,318,Woolrich Women's Heirloom Flannel Shirt,Tops & Tees,Woolrich
324,1,1.0,7.0,324,Patty Women Smart Shirt Collar V-Neck Knit Tops 2-in-1 Style Blouse,Tops & Tees,Patty
327,1,1.0,7.0,327,Walls Ladies Ranch Cotton Shirt Long Sleeved,Tops & Tees,Walls
331,1,1.0,7.0,331,Ralph Lauren Women The Skinny Polo Pony Logo T-Shirt,Tops & Tees,Ralph Lauren
335,1,1.0,7.0,335,Tommy Hilfiger Women V-Neck Logo Polo T-Shirt,Tops & Tees,Tommy Hilfiger
337,1,1.0,7.0,337,Allegra K Women Pullover Bat Sleeve Shirt Loose Top Black Gray L,Tops & Tees,Allegra K
340,1,1.0,7.0,340,Harriton Ladies' 4.5 oz. Long-Sleeve Millennium Twill Shirt,Tops & Tees,Harriton
348,1,1.0,7.0,348,Little Convertible Dress or Skirt 8 Different Looks Made in USA Sizes S M or L,Tops & Tees,Elan
352,1,1.0,7.0,352,Jones New York Women's Petite Long Sleeve Easy Care Blouse,Tops & Tees,Jones New York
354,1,1.0,7.0,354,Plus Size Sexy Floral Lace Corset Top Black White,Tops & Tees,eVogues Apparel
355,1,1.0,7.0,355,Eddie Bauer Favorite 3/4 Sleeve Scoop-Neck T-Shirt,Tops & Tees,Eddie Bauer
357,1,1.0,7.0,357,Patty Women Beautiful Bolero Style Embellished w/ Buttons Blouse Top,Tops & Tees,Patty
360,1,1.0,7.0,360,HANES 4.2 oz NANO-T Originals V-Neck T-Shirt - 4551,Tops & Tees,Hanes
361,1,1.0,7.0,361,Patty Women Sexy Twist Cowl Neck Clubwear Party Tank Cami Top,Tops & Tees,Patty
363,1,1.0,7.0,363,G by GUESS Charlette Chambray Shirt,Tops & Tees,G by GUESS
367,1,1.0,7.0,367,Allegra K Ladies Self Tie Bow Stand Collar Stripes Shirt Black White S,Tops & Tees,Allegra K
373,1,1.0,7.0,373,Karen Kane Women's Beaded Lace Top,Tops & Tees,Karen Kane
374,1,1.0,7.0,374,Tommy Hilfiger Women Striped V-Neck Long Sleeve Logo T-Shirt,Tops & Tees,Tommy Hilfiger
380,1,1.0,7.0,380,Next Level 6540 NL Ldy Burnout Deep V Tee,Tops & Tees,Next Level
381,1,1.0,7.0,381,AnimalShirtsUSA-Gir... Hat Womens Top - Ladies T-Shirt,Tops & Tees,AnimalShirtsUSA
382,1,1.0,7.0,382,Patty Women Cowl Neck Off Shoulders Long Sleeves Top,Tops & Tees,Patty
385,1,1.0,7.0,385,Heisenberg Women's Vintage Retro 80's Frankie Funny White Tee T-Shirt,Tops & Tees,Shirt City
386,1,1.0,7.0,386,Lilla P Women's Long Sleeve Origami Wrap,Tops & Tees,Lilla P
391,1,1.0,7.0,391,Patty Women Sexy Cross Back Necklace Hippie Top Cami,Tops & Tees,Patty
392,1,1.0,7.0,392,Bella Women's Baby Rib Contrast 3/4-Sleeve Raglan T-Shirt,Tops & Tees,Bella
396,1,1.0,7.0,396,Ed Hardy Womens NYC Long Sleeve Tee Shirt-Black,Tops & Tees,Ed Hardy
399,1,1.0,7.0,399,Cosabella Women's Talco Long Camisole,Tops & Tees,Cosabella
401,1,1.0,7.0,401,3900 Next Level Ladies' Cotton Boyfriend Tee,Tops & Tees,Next Level
404,1,1.0,7.0,404,Allegra K Woman Gray Boat Neck Bating Long Sleeves Autumn Shirt Blouse S,Tops & Tees,Allegra K
405,1,1.0,7.0,405,Allegra K Woman Dolman Sleeve Scoop Neck Lip Pattern Cloak Shirt Black L,Tops & Tees,Allegra K
413,1,1.0,7.0,413,Tommy Hilfiger Women V-neck Striped T-shirt,Tops & Tees,Tommy Hilfiger
415,1,1.0,7.0,415,US Polo Assn. Juniors Uspa Baseball T-Shirt,Tops & Tees,U.S. Polo Assn.
420,1,1.0,7.0,420,Allegra K Woman Leopard Print Collar Long Sleeve Pleated Blouse Yellow S,Tops & Tees,Allegra K
422,1,1.0,7.0,422,Allegra K Women Self Tie Knot Stand Collar Striped Autumn Shirt Black XS,Tops & Tees,Allegra K
424,1,1.0,7.0,424,FEA Juniors Hunger Games Movie Girl On Fire Mockingjay Tissue Tee,Tops & Tees,FEA
425,1,1.0,7.0,425,Allegra K Black Scoop Neck Bat Wing Sleeve Shirt Top for Woman M,Tops & Tees,Allegra K
427,1,1.0,7.0,427,Allegra K Ladies Semi Sheer Chiffon Shirt Green w Strander Tank Top Black XS,Tops & Tees,Allegra K
429,1,1.0,7.0,429,Women's Side Rib Strapless extra long Tube Top - 16 inches,Tops & Tees,High Style
430,1,1.0,7.0,430,G by GUESS Betsy Block Tee,Tops & Tees,G by GUESS
433,1,1.0,7.0,433,Allegra K Woman Tie-bow Neck Puff Sleeve Buttoned Cuff Black Chiffon Blouse S,Tops & Tees,Allegra K
435,1,1.0,7.0,435,Plus size Sheer Floral Lace Top Black,Tops & Tees,eVogues Apparel
436,1,1.0,7.0,436,Hot Chillys Women's La Montana Panel Zip-Tee,Tops & Tees,Hot Chillys
440,1,1.0,7.0,440,Patty Women Unique Bolero Style Button Embellished Long Sleeve Party Blouse Top,Tops & Tees,Patty
454,1,1.0,7.0,454,Moon Shine Attitude Attire Muddy Girl Camo Short Sleeve,Tops & Tees,Moon Shine Attitude Attire
458,1,1.0,7.0,458,Allegra K Women Leopard Print Front Long Bat Sleeve Loose Shirt Black S,Tops & Tees,Allegra K
462,1,1.0,7.0,462,Fox Juniors Radient Long Sleeve Henley Shirt,Tops & Tees,Fox
466,1,1.0,7.0,466,Patty Women Sequins One Shoulder Fringe Tops,Tops & Tees,Patty
