product_id,sold,available_quantity,stock_turnover_ratio,product_category,product_brand
27998,5,4.0,1.25,Swim,Body Glove
24334,5,,,Outerwear & Coats,Dickies
19728,5,2.0,2.5,Sweaters,Crazy Granny
16926,5,1.0,5.0,Tops & Tees,Pacific Legend
20956,5,,,Jeans,Joe's Jeans
22485,5,1.0,5.0,Pants,Nautica
8698,5,,,Outerwear & Coats,Patty
16140,4,3.0,1.3333333333333333,Tops & Tees,DC
6605,4,,,Shorts,American Apparel
18214,4,2.0,2.0,Active,ZeroGravitee
18772,4,1.0,4.0,Active,FootJoy
20903,4,3.0,1.3333333333333333,Jeans,Cinch
20414,4,4.0,1.0,Suits & Sport Coats,French Connection
17771,4,,,Fashion Hoodies & Sweatshirts,Elixir
19545,4,,,Sweaters,Sean John
28440,4,2.0,2.0,Accessories,Ray-Ban
888,4,,,Sweaters,SZ
27796,4,2.0,2.0,Swim,2(x)ist
7759,4,2.0,2.0,Blazers & Jackets,Allegra K
14616,4,,,Maternity,Motherhood Maternity
7324,4,4.0,1.0,Skirts,EcoGirl
19358,4,2.0,2.0,Sweaters,Apparel
26214,4,3.0,1.3333333333333333,Underwear,Calvin Klein
22768,4,1.0,4.0,Shorts,Dickies
25205,4,3.0,1.3333333333333333,Socks,Extra Wide Sock Company
27896,4,2.0,2.0,Swim,Volcom
23254,4,2.0,2.0,Shorts,RVCA
2895,4,1.0,4.0,Active,Icebreaker
18016,4,3.0,1.3333333333333333,Fashion Hoodies & Sweatshirts,YAGO
3543,4,1.0,4.0,Dresses,Moonar
16932,4,2.0,2.0,Tops & Tees,Quiksilver
12178,4,,,Intimates,Frederick's of Hollywood
27144,4,,,Sleep & Lounge,Majestic International
17366,4,1.0,4.0,Fashion Hoodies & Sweatshirts,Volcom
17539,4,1.0,4.0,Fashion Hoodies & Sweatshirts,Shirt City
16026,4,2.0,2.0,Tops & Tees,True Religion
5351,4,2.0,2.0,Pants & Capris,Samanthas Style Shoppe
9480,4,3.0,1.3333333333333333,Socks & Hosiery,Betsey Johnson
14674,4,,,Maternity,Motherhood Maternity
19125,4,4.0,1.0,Sweaters,Alex Cannon
28665,4,1.0,4.0,Accessories,Gucci
27406,4,,,Sleep & Lounge,Botany 500
1175,4,2.0,2.0,Sweaters,Shaper Corset
16988,4,1.0,4.0,Tops & Tees,Van Heusen
21802,4,1.0,4.0,Pants,Haggar
28093,4,5.0,0.8,Swim,Volcom
25941,4,2.0,2.0,Underwear,G-Star
22052,4,1.0,4.0,Pants,Canterbury of New Zealand
5602,4,1.0,4.0,Pants & Capris,Mina
8215,4,1.0,4.0,Suits,Le Suit
11264,4,1.0,4.0,Intimates,Heavenly Shapewear
24512,4,,,Socks,Hanes
12264,4,,,Intimates,Vx Intimate Inc
25902,4,1.0,4.0,Underwear,Champion
4100,4,2.0,2.0,Jumpsuits & Rompers,Allegra K
24759,4,,,Socks,SockGuy
15197,4,4.0,1.0,Maternity,Glamourmom
16629,4,1.0,4.0,Tops & Tees,Anvil
19141,4,3.0,1.3333333333333333,Sweaters,G-Star
23538,4,3.0,1.3333333333333333,Shorts,Woolrich
17145,4,2.0,2.0,Fashion Hoodies & Sweatshirts,ICECREAM
17343,4,,,Fashion Hoodies & Sweatshirts,Authentic Pigment
28738,4,1.0,4.0,Accessories,SmartWool
19090,4,1.0,4.0,Sweaters,SmartWool
19023,4,,,Sweaters,American Rag
24197,4,,,Outerwear & Coats,Irish Setter
17182,4,2.0,2.0,Fashion Hoodies & Sweatshirts,American Apparel
24056,4,1.0,4.0,Outerwear & Coats,London Fog
11889,4,1.0,4.0,Intimates,Jolie
25795,4,,,Underwear,Calvin Klein
5611,4,3.0,1.3333333333333333,Pants & Capris,Allegra K
25191,4,1.0,4.0,Socks,PACT
9757,4,,,Sleep & Lounge,Spa & Resort
20139,4,1.0,4.0,Suits & Sport Coats,FineBrandShop
15279,4,1.0,4.0,Plus,Pashmina
3654,4,2.0,2.0,Dresses,Karen Kane
23931,4,4.0,1.0,Outerwear & Coats,Tommy Hilfiger
24409,4,4.0,1.0,Outerwear & Coats,Knoles&Carter
16883,4,2.0,2.0,Tops & Tees,GUINNESS
1595,4,,,Fashion Hoodies & Sweatshirts,Hurley
27761,4,2.0,2.0,Swim,Billabong
20573,4,3.0,1.3333333333333333,Jeans,Carhartt
14169,4,3.0,1.3333333333333333,Accessories,Cashmere Boutique
6210,4,3.0,1.3333333333333333,Leggings,Dapper World
